States,Region
alabama,South
alaska,West
arizona,West
arkansas,South
california,West
colorado,West
connecticut,Northeast
delaware,South
florida,South
georgia,South
idaho,West
illinois,Midwest
indiana,Midwest
iowa,Midwest
kansas,Midwest
kentucky,South
louisiana,South
maine,Northeast
maryland,South
massachusetts,Northeast
michigan,Midwest
minnesota,Midwest
mississippi,South
missouri,Midwest
montana,West
nebraska,Midwest
nevada,West
new hampshire,Northeast
new jersey,Northeast
new mexico,West
new york,Northeast
north carolina,South
north dakota,Midwest
ohio,Midwest
oklahoma,South
oregon,West
pennsylvania,Northeast
rhode island,Northeast
south carolina,South
south dakota,Midwest
tennessee,South
texas,South
utah,West
vermont,Northeast
virginia,South
west virginia,South
washington,West
wisconsin,Midwest
wyoming,West
